Timestamp,personality_irl,personality_online,friends_irl,friends_online
4/5/2024 12:38:17,Introvert,Introvert,5,5
4/5/2024 12:40:18,Introvert,Extrovert,2,1
4/5/2024 12:40:33,Introvert,Introvert,5,8
4/5/2024 12:41:07,Introvert,Introvert,5,10
4/5/2024 12:41:27,Introvert,Introvert,4,4
4/5/2024 12:45:48,Extrovert,Extrovert,4,7
4/5/2024 12:49:11,Introvert,Extrovert,2,5
4/5/2024 12:52:20,Introvert,Introvert,3,1
4/5/2024 12:53:31,Introvert,Introvert,1,0
4/5/2024 12:56:57,Introvert,Extrovert,5,4
4/5/2024 12:57:36,Extrovert,Introvert,5,5
4/5/2024 12:57:39,Extrovert,Introvert,3,2
4/5/2024 12:59:00,Introvert,Extrovert,8,6
4/5/2024 12:59:38,Introvert,Introvert,3,3
4/5/2024 13:00:49,Introvert,Introvert,10,3
4/5/2024 13:00:50,Introvert,Introvert,3,4
4/5/2024 13:01:21,Introvert,Introvert,3,2
4/5/2024 13:02:37,Extrovert,Introvert,7,3
4/5/2024 13:02:58,Extrovert,Extrovert,10,10
4/5/2024 13:04:19,Introvert,Introvert,4,5
4/5/2024 13:04:21,Introvert,Introvert,1,1
4/5/2024 13:06:31,Extrovert,Introvert,7,3
4/5/2024 13:06:41,Extrovert,Introvert,8,2
4/5/2024 13:09:58,Extrovert,Introvert,3,1
4/5/2024 13:12:57,Extrovert,Extrovert,4,2
4/5/2024 13:13:22,Introvert,Extrovert,5,7
4/5/2024 13:13:22,Introvert,Introvert,4,1
4/5/2024 13:18:02,Extrovert,Introvert,5,1
4/5/2024 13:24:28,Introvert,Introvert,3,5
4/5/2024 13:26:28,Introvert,Extrovert,8,10
4/5/2024 13:29:04,Extrovert,Extrovert,3,3
4/5/2024 13:30:26,Introvert,Introvert,3,2
4/5/2024 13:33:37,Introvert,Extrovert,6,6
4/5/2024 13:34:32,Introvert,Introvert,9,10
4/5/2024 13:39:43,Introvert,Extrovert,3,5
4/5/2024 13:40:34,Extrovert,Introvert,10,5
4/5/2024 13:41:59,Introvert,Introvert,5,1
4/5/2024 13:42:32,Introvert,Introvert,3,3
4/5/2024 13:43:09,Extrovert,Extrovert,3,10
4/5/2024 13:43:59,Extrovert,Introvert,5,4
4/5/2024 13:45:39,Extrovert,Introvert,1,1
4/5/2024 13:53:38,Introvert,Introvert,2,3
4/5/2024 13:54:01,Extrovert,Extrovert,7,10
4/5/2024 13:57:10,Introvert,Introvert,2,2
4/5/2024 13:57:12,Introvert,Extrovert,8,10
4/5/2024 13:57:48,Introvert,Introvert,3,2
